Dim1,Dim2,Class
-7.933852,43.67099,1.0
-36.555943,-0.5885899,4.0
12.567017,39.599335,1.0
21.02647,-2.3220532,5.0
-47.686607,16.558073,1.0
-69.89335,28.071796,3.0
51.602867,-4.7046146,4.0
25.882584,54.0622,1.0
-15.154022,46.41015,1.0
6.3505235,17.338537,3.0
23.851795,50.68254,1.0
24.180271,5.5760603,4.0
-79.133804,31.133553,5.0
-55.159153,9.473909,4.0
-40.2255,-1.2754369,1.0
-7.8550196,-71.512764,4.0
-52.89606,4.1039863,1.0
-64.81822,23.361757,4.0
5.850198,32.41368,1.0
56.28353,-28.340624,4.0
-5.129026,59.407257,4.0
-6.869195,32.862686,4.0
-21.591843,11.711628,1.0
-29.102055,44.56149,3.0
13.512184,26.60808,1.0
31.749119,29.802767,1.0
-18.132446,15.628526,1.0
-49.736916,11.892394,4.0
34.678066,42.50174,1.0
38.493908,-27.352608,4.0
-35.430233,-4.048414,3.0
-34.38983,-1.977289,1.0
-48.767532,21.754236,4.0
1.4595249,26.753748,4.0
76.801926,-21.973484,4.0
21.903982,-78.26374,3.0
58.871517,-14.237912,1.0
-67.72564,21.175285,3.0
-18.073807,-1.0680062,1.0
-40.884995,-32.29055,4.0
31.304749,32.342255,3.0
-68.26759,24.726913,5.0
-77.89381,21.670404,4.0
47.726948,-16.305996,1.0
69.382904,-17.987226,1.0
-80.23798,30.218334,4.0
61.74758,8.605731,4.0
-2.5868576,4.797637,4.0
-65.64998,22.022554,4.0
4.141173,-80.645546,4.0
-53.02794,-18.033085,4.0
-45.009518,18.458202,3.0
-0.75079924,28.191097,1.0
-3.6451054,55.44851,1.0
-45.221912,-0.16660725,4.0
-45.258873,1.5411716,4.0
-42.274746,1.0317413,1.0
65.0575,-19.749332,1.0
71.53556,-18.744387,3.0
34.17087,42.97963,1.0
4.261411,-4.6712255,1.0
-35.229965,0.24525505,1.0
-46.835594,25.3222,3.0
-71.58262,26.29667,5.0
-62.577465,24.331738,1.0
-80.292694,30.16266,4.0
-19.402496,9.555064,1.0
56.121487,-25.242262,3.0
-4.5239897,-67.928246,4.0
-0.1581251,17.746582,1.0
0.119460195,-70.14497,1.0
23.115253,50.17012,1.0
-37.152958,-31.25657,4.0
-10.489804,45.714558,5.0
